date,infections,deaths
01/09/2020,1142,35
02/09/2020,1622,34
03/09/2020,1526,37
04/09/2020,1929,35
05/09/2020,1688,33
06/09/2020,1910,37
07/09/2020,1788,31
08/09/2020,1346,42
09/09/2020,1988,43
10/09/2020,2371,38
11/09/2020,2191,44
12/09/2020,2350,42
13/09/2020,2085,41
14/09/2020,2269,31
15/09/2020,1586,49
16/09/2020,2378,50
17/09/2020,2411,43
18/09/2020,2283,52
19/09/2020,1535,50
20/09/2020,2236,44
21/09/2020,1837,36
22/09/2020,1628,50
23/09/2020,2360,49
24/09/2020,2163,54
25/09/2020,1876,48
26/09/2020,2282,44
27/09/2020,2261,44
28/09/2020,2055,40
29/09/2020,1713,49
30/09/2020,2654,46
01/10/2020,2352,43
02/10/2020,2440,42
03/10/2020,2402,46
04/10/2020,1190,48
05/10/2020,1836,47
06/10/2020,1625,47
07/10/2020,2848,46
08/10/2020,2823,48
09/10/2020,2289,47
10/10/2020,2203,48
11/10/2020,2170,42
12/10/2020,1620,36
13/10/2020,1325,38
14/10/2020,2211,48
15/10/2020,2119,46
16/10/2020,1823,37
17/10/2020,1791,101
18/10/2020,1600,46
19/10/2020,1234,34
20/10/2020,1091,45
21/10/2020,1609,48
22/10/2020,1463,49
23/10/2020,1470,48
24/10/2020,1257,50
25/10/2020,1222,46
26/10/2020,804,37
27/10/2020,801,23
28/10/2020,1354,31
29/10/2020,1120,33
30/10/2020,1145,32
31/10/2020,992,32
01/11/2020,908,25
02/11/2020,706,30
03/11/2020,746,-25
04/11/2020,983,29
05/11/2020,841,25
06/11/2020,792,22
07/11/2020,576,23
08/11/2020,1496,23
09/11/2020,599,20
10/11/2020,535,19
11/11/2020,1069,22
12/11/2020,858,19
13/11/2020,801,17
14/11/2020,726,16
15/11/2020,577,15
16/11/2020,409,12
17/11/2020,541,14
18/11/2020,871,16
19/11/2020,924,12
20/11/2020,1031,12
21/11/2020,1093,17
22/11/2020,1135,19
23/11/2020,800,14
24/11/2020,939,19
25/11/2020,1144,17
26/11/2020,1147,15
27/11/2020,1074,17
28/11/2020,1063,90
29/11/2020,940,18
30/11/2020,646,19